Start Location,"DIGI145"
End Location,"DIGI157"
Project,RL Viz Test
Start Date,8/3/2016 12:00 AM
End Date,12/31/2016 11:59 PM

Trip Distance(mi),25.63
Expected Travel Time(s),1651 (27:31)
Number of Trips,73563
Average Speed(mph),61.3
Average Travel Time(s),1505.5 (25:05)
Standard Deviation,443.5
15th Percentile Travel Time(s),1426 (23:46)
85th Percentile Travel Time(s),1676 (27:56)
95th Percentile Travel Time(s),2380 (39:40)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"8/3/2016 12:00:00 AM*",61.5,1502,4
"8/3/2016 12:15:00 AM*",34.4,2686,5
"8/3/2016 12:30:00 AM*",64.3,1436,4
"8/3/2016 12:45:00 AM*",63.8,1446,9
"8/3/2016 1:00:00 AM*",63.8,1447,5
"8/3/2016 1:15:00 AM*",62.4,1480,3
"8/3/2016 1:30:00 AM*",62.5,1477,3
"8/3/2016 1:45:00 AM*",63.5,1454,3
"8/3/2016 2:30:00 AM*",60.6,1522,1
"8/3/2016 2:45:00 AM*",58.5,1577,1
"8/3/2016 3:00:00 AM*",59.8,1542,1
"8/3/2016 3:15:00 AM*",62.7,1472,3
"8/3/2016 3:30:00 AM*",62.2,1484,2
"8/3/2016 3:45:00 AM*",59,1563,1
"8/3/2016 4:00:00 AM*",57.4,1607,1
"8/3/2016 4:15:00 AM*",60,1537,3
"8/3/2016 4:30:00 AM*",46.4,1990,2
"8/3/2016 4:45:00 AM*",64.6,1429,7
"8/3/2016 5:00:00 AM*",57.9,1593,1
"8/3/2016 5:30:00 AM*",65.2,1416,9
"8/3/2016 5:45:00 AM*",64.4,1434,10
"8/3/2016 6:00:00 AM*",63.9,1445,7
"8/3/2016 6:15:00 AM*",65.7,1404,13
"8/3/2016 6:30:00 AM*",65.9,1401,8
"8/3/2016 6:45:00 AM*",62.7,1471,26
"8/3/2016 7:00:00 AM*",62.7,1473,24
"8/3/2016 7:15:00 AM*",63.2,1461,30
"8/3/2016 7:30:00 AM*",63.5,1454,17
"8/3/2016 7:45:00 AM*",62.9,1468,27
"8/3/2016 8:00:00 AM*",63.3,1457,26
"8/3/2016 8:15:00 AM*",66.1,1396,21
"8/3/2016 8:30:00 AM*",64.4,1432,24
"8/3/2016 8:45:00 AM*",63,1464,17
"8/3/2016 9:00:00 AM*",62.4,1480,15
"8/3/2016 9:15:00 AM*",63,1466,17
"8/3/2016 9:30:00 AM*",64,1442,16
"8/3/2016 9:45:00 AM*",64.1,1439,20
"8/3/2016 10:00:00 AM*",65.1,1418,25
"8/3/2016 10:15:00 AM*",64.1,1439,26
"8/3/2016 10:30:00 AM*",64.4,1433,25
"8/3/2016 10:45:00 AM*",65.5,1410,23
"8/3/2016 11:00:00 AM",56.7,1628,28
"8/3/2016 11:15:00 AM",56.5,1635,42
"8/3/2016 11:30:00 AM",65.3,1414,27
"8/3/2016 11:45:00 AM",66.9,1380,22
"8/3/2016 12:00:00 PM",49.8,1852,28
"8/3/2016 12:15:00 PM",65,1419,31
"8/3/2016 12:30:00 PM*",63.1,1464,34
"8/3/2016 12:45:00 PM",60.8,1518,28
"8/3/2016 1:00:00 PM",66.6,1386,17
"8/3/2016 1:15:00 PM",65.8,1402,30
"8/3/2016 1:30:00 PM",66,1399,22
"8/3/2016 1:45:00 PM",62.6,1475,17
"8/3/2016 2:00:00 PM",62.8,1470,19
"8/3/2016 2:15:00 PM",62.9,1467,48
"8/3/2016 2:30:00 PM",69.4,1330,33
"8/3/2016 2:45:00 PM",67.6,1365,34
"8/3/2016 3:00:00 PM*",63.9,1444,28
"8/3/2016 3:15:00 PM*",61,1513,29
"8/3/2016 3:30:00 PM*",58,1592,28
"8/3/2016 3:45:00 PM",53,1742,39
"8/3/2016 4:00:00 PM*",50.7,1822,28
"8/3/2016 4:15:00 PM",48.1,1918,29
"8/3/2016 4:30:00 PM",44,2095,36
"8/3/2016 4:45:00 PM",24.5,3765,33
"8/3/2016 5:00:00 PM*",44.7,2063,16
"8/3/2016 5:15:00 PM",46.5,1985,34
"8/3/2016 5:30:00 PM",44.3,2085,16
"8/3/2016 5:45:00 PM",55.6,1659,32
"8/3/2016 6:00:00 PM*",65.9,1400,23
"8/3/2016 6:15:00 PM",67.7,1363,21
"8/3/2016 6:30:00 PM",65.6,1407,15
"8/3/2016 6:45:00 PM",66.7,1384,19
"8/3/2016 7:00:00 PM*",65.7,1406,11
