"I-5 Travel Times with Drawbridge" - Overview
3/29/2013 12:00 AM - 3/31/2013 11:59 PM

Id,"Status","Start Location","End Location",Total Matches,"Last Match",Last Match Travel Time(s),Last Match Speed(mph,"Start Latitide","Start Longitude","End Latitude","End Longitude"
3333,"Complete","I-205","Bridge",0,"N/A",N/A,N/A,"45.714802","-122.653953","45.621858","-122.673004",
3324,"Complete","Bridge","Downtown",6890,"3/31/2013 5:00 PM",88,59.4,"45.621858","-122.673004","45.64077","-122.661969",
3331,"Complete","Downtown","Bridge",6748,"3/31/2013 5:00 PM",80,64.8,"45.64077","-122.661969","45.621858","-122.673004",
3326,"Complete","Downtown","SR-500",7600,"3/31/2013 5:00 PM",55,63.1,"45.64077","-122.661969","45.654527","-122.663448",
3330,"Complete","Hazel Dell","NE 88th",5828,"3/31/2013 5:00 PM",53,64.8,"45.672176","-122.664367","45.685842","-122.66461",
3327,"Complete","Hazel Dell","SR-500",6632,"3/31/2013 5:00 PM",94,48.4,"45.672176","-122.664367","45.654527","-122.663448",
3323,"Complete","I-205","NE 88th",5689,"3/31/2013 5:01 PM",116,65.3,"45.714802","-122.653953","45.685842","-122.66461",
3325,"Complete","NE 88th","Hazel Dell",5583,"3/31/2013 5:00 PM",56,61.1,"45.685842","-122.66461","45.672176","-122.664367",
3332,"Complete","NE 88th","I-205",5584,"3/31/2013 5:00 PM",112,68.1,"45.685842","-122.66461","45.714802","-122.653953",
3329,"Complete","SR-500","Downtown",6597,"3/31/2013 5:00 PM",54,64.2,"45.654527","-122.663448","45.64077","-122.661969",
3328,"Complete","SR-500","Hazel Dell",7162,"3/31/2013 5:00 PM",76,60,"45.654527","-122.663448","45.672176","-122.664367",
